,SYMBOL,NAME OF COMPANY,cm02JUL2024bhav.csv,cm01JUL2024bhav.csv
274,BOMDYEING,Bombay Dyeing & Mfg Company Limited,0.9838205809670413,1.6349161216946204
275,BOROLTD,Borosil Limited,4.62172505151604,3.7410291647579785
276,BORORENEW,BOROSIL RENEWABLES LIMITED,0.5611893275573429,0.7638888888888934
277,BOSCHLTD,Bosch Limited,1.1528483983188467,0.485706070812441
278,BPCL,Bharat Petroleum Corporation Limited,-0.04925299622394816,0.19740088830400485
279,BPL,BPL Limited,-3.185397279885461,8.715953307392986
280,BRIGADE,Brigade Enterprises Limited,1.13501922508133,0.29664787896766537
281,BRITANNIA,Britannia Industries Limited,-1.3667488359353668,0.01734985526567775
282,BRNL,Bharat Road Network Limited,,
283,BROOKS,Brooks Laboratories Limited,,
284,BSE,BSE Limited,-3.379822073734509,-0.32719598846102776
285,BSHSL,Bombay Super Hybrid Seeds Limited,-0.06820924497612438,-0.6360460872738641
286,BSL,BSL Limited,-1.6291660457954609,-1.1780297452510564
287,BSOFT,BIRLASOFT LIMITED,-1.2193422519509476,3.954802259887016
288,BTML,Bodhi Tree Multimedia Limited,,
289,BURNPUR,Burnpur Cement Limited,9.924487594390506,-7.852882703777345
290,BUTTERFLY,Butterfly Gandhimathi Appliances Limited,0.14242579616020054,0.9663503019844668
291,BVCL,Barak Valley Cements Limited,-2.533783783783792,-0.12269938650306486
292,BYKE,The Byke Hospitality Ltd,,
293,CALSOFT,California Software Company Limited,,
294,CAMLINFINE,Camlin Fine Sciences Limited,-0.5667627281460031,0.6867201857046076
295,CAMPUS,Campus Activewear Limited,-0.016989466530754796,0.9086233499057206
296,CAMS,Computer Age Management Services Limited,2.9844823339445448,1.1390215210020094
297,CANBK,Canara Bank,-1.7826968570462989,-0.9291035406378165
298,CANFINHOME,Can Fin Homes Limited,-3.643943906004666,0.9014423076923076
299,CANTABIL,Cantabil Retail India Limited,-1.539729517101867,7.44676568852393
300,CAPACITE,Capacit'e Infraprojects Limited,-1.1856423582913866,-0.8694252133311829
301,CAPLIPOINT,Caplin Point Laboratories Limited,-0.16180672702860255,-1.3751188374303953
302,CAPTRUST,Capital Trust Limited,-0.8744534665833763,-2.0367132867132978
303,CARBORUNIV,Carborundum Universal Limited,0.3336312183497116,0.5240305434945352
304,CAREERP,Career Point Limited,3.0791217357411886,-1.48470497888134
305,CARERATING,CARE Ratings Limited,0.5187531561309152,2.464838421374481
306,CARTRADE,Cartrade Tech Limited,0.4656577415599564,-0.8401205669210485
307,CARYSIL,CARYSIL LIMITED,2.5811474428075303,-0.7371299488764766
308,CASTROLIND,Castrol India Limited,-1.2904415153470288,8.1601116594387
309,CCCL,Consolidated Construction Consortium Limited,,
310,CCHHL,Country Club Hospitality & Holidays Limited,6.812272490899629,7.912457912457913
311,CCL,CCL Products (India) Limited,0.07582139848357969,0.41451653836393637
312,CDSL,Central Depository Services (India) Limited,-1.9237079573420874,2.1258770551890254
313,CEATLTD,CEAT Limited,-2.7684770732738935,0.5475131562627451
314,CELEBRITY,Celebrity Fashions Limited,-2.564102564102564,3.778605641298568
315,CENTENKA,Century Enka Limited,4.2688228134237445,-0.4931222424085167
316,CENTEXT,Century Extrusions Limited,0.0,2.3129921259842465
317,CENTRALBK,Central Bank of India,-0.8396704689480261,0.5255613951266098
318,CENTRUM,Centrum Capital Limited,-0.2063983488132051,-0.9961685823754803
319,CENTUM,Centum Electronics Limited,-1.1130318745640455,0.209700948212986
320,CENTURYPLY,Century Plyboards (India) Limited,-3.7629413326254344,-1.3293170060899715
321,CENTURYTEX,Century Textiles & Industries Limited,3.660125043417862,-0.5290548273553737
322,CERA,Cera Sanitaryware Limited,3.8883772017642757,0.6552845996602613
323,CEREBRAINT,Cerebra Integrated Technologies Limited,,
324,CESC,CESC Limited,-1.7777502477700724,-0.7134071340713387
325,CGCL,Capri Global Capital Limited,0.8647429269668219,-1.1291296872821928
326,CGPOWER,CG Power and Industrial Solutions Limited,-0.20094235033260052,2.398183624237261
327,CHALET,Chalet Hotels Limited,-1.4337957856852641,7.2197672247463744
328,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,-2.876803975915121,3.2261247040252496
329,CHEMBOND,Chembond Chemicals Ltd,-2.4479613315662343,2.7063816158219196
330,CHEMCON,Chemcon Speciality Chemicals Limited,3.179135731962697,2.461574471405166
331,CHEMFAB,Chemfab Alkalis Limited,0.08103727714748785,1.7228587915258504
332,CHEMPLASTS,Chemplast Sanmar Limited,1.214087117701567,1.1246485473289598
333,CHENNPETRO,Chennai Petroleum Corporation Limited,0.4991341550371781,-0.040729049994906556
334,CHEVIOT,Cheviot Company Limited,-2.5792695508631955,0.5011578474406386
335,CHOICEIN,Choice International Limited,-0.10201479214486969,1.3833225597931538
336,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,-2.3943956503554937,0.7797681770284446
337,CHOLAHLDNG,Cholamandalam Financial Holdings Limited,-2.98266326974461,10.71895424836601
338,CIGNITITEC,Cigniti Technologies Limited,-0.02549812406659647,0.911597132879992
339,CINELINE,Cineline India Limited,1.2775231081385865,3.083120303664102
340,CINEVISTA,Cinevista Limited,,
341,CIPLA,Cipla Limited,0.6456629031167725,-0.11480280929227751
342,CLEAN,Clean Science and Technology Limited,2.5408532665696915,3.3028100097861035
343,CLEDUCATE,CL Educate Limited,-0.10710460549804048,0.9248138361758298
344,CLSEL,Chaman Lal Setia Exports Limited,0.566065121679818,0.9425669075991439
345,CMICABLES,CMI Limited,,
346,CMSINFO,CMS Info Systems Limited,-0.03927344133529477,3.1810353560936053
347,COALINDIA,Coal India Limited,0.9056444818871128,0.34872661946529304
348,COASTCORP,Coastal Corporation Limited,-0.7647598654022637,0.8239337328163572
349,COCHINSHIP,Cochin Shipyard Limited,-0.23830012576951481,2.2978127892016382
350,COFFEEDAY,Coffee Day Enterprises Limited,-0.6211180124223664,-1.0484454085321733
