,SYMBOL,NAME OF COMPANY,cm26JUN2024bhav.csv,cm25JUN2024bhav.csv,cm24JUN2024bhav.csv,cm21JUN2024bhav.csv,cm20JUN2024bhav.csv,cm19JUN2024bhav.csv,cm18JUN2024bhav.csv,cm14JUN2024bhav.csv,cm13JUN2024bhav.csv,cm12JUN2024bhav.csv,cm11JUN2024bhav.csv,cm10JUN2024bhav.csv,cm07JUN2024bhav.csv,cm06JUN2024bhav.csv,cm05JUN2024bhav.csv,cm04JUN2024bhav.csv,cm03JUN2024bhav.csv
373,CSLFINANCE,CSL Finance Limited,-0.7748600947051275,-0.10750376263169212,0.24787153788124455,-0.18287435456110646,0.10768899418479431,0.6939926263283428,0.2827316224445436,-1.6365386672371327,1.388135777030686,8.520654348593618,1.3598950256471538,-1.2486747555660294,1.3248985438052068,3.317301763472682,1.2359550561797725,-3.0383730783198186,-2.306054872280038
374,CTE,Cambridge Technology Enterprises Limited,6.390405441689788,-5.241285726401487,19.99796458375737,,,,,,,,,,,,,,
375,CUB,City Union Bank Limited,-0.4042085240444501,3.679280167632195,-0.4723057106054163,-1.9427402862985623,5.864374403056338,-0.15893197711379528,3.9175530157891303,2.090780333175959,-0.6566164154103784,-0.14718672643339725,1.2257889746715442,0.3806934058463646,1.0996563573883122,0.7268951194184918,6.565842862412377,-7.914402173913028,2.8651292802236163
376,CUBEXTUB,Cubex Tubings Limited,,,,,,,,,,,,,,,,,
377,CUMMINSIND,Cummins India Limited,-0.18718179095537585,-0.8831168831168787,3.655175066347009,1.1135597614726425,1.7275484636687328,-0.8978396957538823,0.006534922626516102,3.046464646464644,1.024531613535249,3.0640004487323313,0.6080613986822908,-1.7329580901415478,2.888483154080963,2.9728856379072375,4.873840845374159,-12.562462118661186,4.532143158843235
378,CUPID,Cupid Limited,,,,,,,,,,,,,,,,,
379,CYBERMEDIA,Cyber Media (India) Limited,,,,,,,,,,,,,,,,,
380,CYBERTECH,Cybertech Systems And Software Limited,-0.9190120620333109,1.8128654970760203,6.801573917931412,2.0914365873876175,-0.5390664637239944,-0.2530364372469671,5.302424726885164,-1.340694006309143,-2.210796915167094,1.9124967251768321,0.03275895957545134,-0.8896103896103926,6.907323845886837,1.7661603673613562,3.095411507647487,-6.883689386232607,1.235839340885673
381,CYIENT,Cyient Limited,-1.8002571795970927,-0.33375163538301333,0.09353786947458442,0.02138465650895969,-1.1206850980599485,-1.5073022153958318,1.6405154393670784,-0.8734197135812759,1.1675423234092235,1.1026156941649874,-1.2478143379430908,-1.9482543640897756,6.752447242172985,0.4428722633836581,5.442156891538657,-1.6322875137227713,-0.23346303501945265
382,DAAWAT,LT Foods Limited,,,,,,,,,,,,,,,,,
