,SYMBOL,NAME OF COMPANY
527,FINPIPE,Finolex Industries Limited
528,FIVESTAR,Five-Star Business Finance Limited
529,FLEXITUFF,Flexituff Ventures International Limited
530,FLFL,Future Lifestyle Fashions Limited
531,FLUOROCHEM,Gujarat Fluorochemicals Limited
532,FMGOETZE,Federal-Mogul Goetze (India) Limited.
533,FMNL,Future Market Networks Limited
534,FOCUS,Focus Lighting and Fixtures Limited
535,FOODSIN,Foods & Inns Limited
536,FORCEMOT,FORCE MOTORS LTD
537,FORTIS,Fortis Healthcare Limited
538,FOSECOIND,Foseco India Limited
539,FRETAIL,Future Retail Limited
540,FSC,Future Supply Chain Solutions Limited
541,FSL,Firstsource Solutions Limited
542,FUSION,Fusion Micro Finance Limited
543,GABRIEL,Gabriel India Limited
544,GAEL,Gujarat Ambuja Exports Limited
545,GAIL,GAIL (India) Limited
546,GAL,Gyscoal Alloys Limited
547,GALAXYSURF,Galaxy Surfactants Limited
548,GALLANTT,Gallantt Ispat Limited
549,GANDHITUBE,Gandhi Special Tubes Limited
550,GANECOS,Ganesha Ecosphere Limited
551,GANESHBE,Ganesh Benzoplast Limited
552,GANESHHOUC,Ganesh Housing Corporation Limited
553,GANGAFORGE,Ganga Forging Limited
554,GANGESSECU,Ganges Securities Limited
555,GANGOTRI,Gangotri Textiles Limited
556,GARFIBRES,Garware Technical Fibres Limited
557,GATEWAY,Gateway Distriparks Limited
558,GATI,GATI Limited
559,GAYAHWS,Gayatri Highways Limited
560,GAYAPROJ,Gayatri Projects Limited
561,GEECEE,GeeCee Ventures Limited
562,GEEKAYWIRE,Geekay Wires Limited
563,GENCON,Generic Engineering Construction and Projects Limited
564,GENESYS,Genesys International Corporation Limited
565,GENUSPAPER,Genus Paper & Boards Limited
566,GENUSPOWER,Genus Power Infrastructures Limited
567,GEOJITFSL,Geojit Financial Services Limited
568,GEPIL,GE Power India Limited
569,GESHIP,The Great Eastern Shipping Company Limited
570,GET&D,GE T&D India Limited
571,GFLLIMITED,GFL Limited
572,GFSTEELS,Grand Foundry Limited
573,GHCL,GHCL Limited
574,GICHSGFIN,GIC Housing Finance Limited
575,GICRE,General Insurance Corporation of India
576,GILLANDERS,Gillanders Arbuthnot & Company Limited
577,GILLETTE,Gillette India Limited
578,GINNIFILA,Ginni Filaments Limited
579,GIPCL,Gujarat Industries Power Company Limited
580,GISOLUTION,GI Engineering Solutions Limited
581,GKWLIMITED,GKW Limited
582,GLAND,Gland Pharma Limited
583,GLAXO,GlaxoSmithKline Pharmaceuticals Limited
584,GLENMARK,Glenmark Pharmaceuticals Limited
585,GLFL,Gujarat Lease Financing Limited
586,GLOBAL,Global Education Limited
587,GLOBALVECT,Global Vectra Helicorp Limited
588,GLOBE,Globe Textiles (India) Limited
589,GLOBUSSPR,Globus Spirits Limited
590,GLS,Glenmark Life Sciences Limited
591,GMBREW,GM Breweries Limited
592,GMDCLTD,Gujarat Mineral Development Corporation Limited
593,GMMPFAUDLR,GMM Pfaudler Limited
594,GMRINFRA,GMR Airports Infrastructure Limited
595,GMRP&UI,GMR Power and Urban Infra Limited
596,GNA,GNA Axles Limited
597,GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited
598,GOACARBON,Goa Carbon Limited
599,GOCLCORP,GOCL Corporation Limited
600,GOCOLORS,Go Fashion (India) Limited
601,GODFRYPHLP,Godfrey Phillips India Limited
602,GODHA,Godha Cabcon & Insulation Limited
603,GODREJAGRO,Godrej Agrovet Limited
604,GODREJCP,Godrej Consumer Products Limited
605,GODREJIND,Godrej Industries Limited
606,GODREJPROP,Godrej Properties Limited
607,GOENKA,Goenka Diamond and Jewels Limited
608,GOKEX,Gokaldas Exports Limited
609,GOKUL,Gokul Refoils and Solvent Limited
610,GOKULAGRO,Gokul Agro Resources Limited
611,GOLDENTOBC,Golden Tobacco Limited
612,GOLDIAM,Goldiam International Limited
613,GOLDTECH,Goldstone Technologies Limited
614,GOODLUCK,Goodluck India Limited
615,GOODYEAR,Goodyear India Limited
616,GOYALALUM,Goyal Aluminiums Limited
617,GPIL,Godawari Power And Ispat limited
618,GPPL,Gujarat Pipavav Port Limited
619,GPTINFRA,GPT Infraprojects Limited
620,GRANULES,Granules India Limited
621,GRAPHITE,Graphite India Limited
622,GRASIM,Grasim Industries Limited
623,GRAUWEIL,Grauer & Weil (India) Limited
624,GRAVITA,Gravita India Limited
625,GREAVESCOT,Greaves Cotton Limited
626,GREENLAM,Greenlam Industries Limited
627,GREENPANEL,Greenpanel Industries Limited
628,GREENPLY,Greenply Industries Limited
629,GREENPOWER,Orient Green Power Company Limited
630,GRINDWELL,Grindwell Norton Limited
631,GRINFRA,G R Infraprojects Limited
