,Index Name,ind_close_all_28032025.csv,ind_close_all_27032025.csv,ind_close_all_26032025.csv,ind_close_all_25032025.csv,ind_close_all_24032025.csv,ind_close_all_21032025.csv,ind_close_all_20032025.csv,ind_close_all_19032025.csv,ind_close_all_18032025.csv,ind_close_all_17032025.csv,ind_close_all_13032025.csv,ind_close_all_12032025.csv,ind_close_all_11032025.csv,ind_close_all_10032025.csv,ind_close_all_07032025.csv,ind_close_all_06032025.csv,ind_close_all_05032025.csv,ind_close_all_04032025.csv,ind_close_all_03032025.csv
93,NIFTY50 Equal Weight,-.56,.58,-.69,-.18,1.08,.8,1.13,.57,1.45,.67,-.53,-.23,-.18,-.66,-.1,1.12,1.63,-.25,.32
94,Nifty 50 Futures Index,-.59,.37,-.76,.04,1.36,.77,.99,.34,1.38,.62,-.38,-.15,.22,-.59,.13,.8,1.13,-.31,-.09
95,Nifty 50 Arbitrage,.19,.1,.01,.02,-.01,-.05,.16,-.01,.05,-.06,.04,.02,-.02,.14,-.05,.09,.02,.1,.06
96,Nifty Aditya Birla Group,,,,,,,,,,,,,,,,,,,
97,Nifty 8-13 yr G-Sec,.13,.07,.22,.01,.03,.1,.18,.11,.12,.06,-.02,.08,.07,-.06,0,.24,.16,-.02,-.06
98,Nifty 4-8 yr G-Sec Index,.15,.05,.12,-.01,.01,.16,.17,.11,.09,.05,0,.05,.05,-.03,.02,.09,.12,-.02,-.02
99,Nifty 11-15 yr G-Sec Index,.2,.16,.38,.04,.03,.07,.19,.21,.14,.12,.04,.16,.15,-.02,-.01,.32,.19,-.06,-.04
100,Nifty 15 yr and above G-Sec Index,.36,.08,.32,-.01,-.04,-.12,.2,.38,.17,.19,.13,.25,.18,.11,.14,.35,.35,-.01,-.07
101,Nifty Composite G-sec Index,.19,.08,.24,.01,.02,.07,.18,.17,.12,.09,.01,.11,.1,-.03,.02,.25,.18,-.03,-.05
102,Nifty 10 yr Benchmark G-Sec,.13,.06,.23,-.01,.01,.1,.15,.1,.14,.06,-.06,.07,.08,-.07,-.03,.27,.18,-.02,-.07
103,Nifty 10 yr Benchmark G-Sec (Clean Price),.12,.04,.22,-.03,-.01,.08,.14,.08,.13,.04,-.08,.06,.07,-.1,-.05,.26,.17,-.03,-.09
104,Nifty 1D Rate Index,.02,.02,.02,.02,.05,.02,.02,.02,.02,.07,.02,.02,.02,.05,.02,.02,.02,.02,.05
105,Nifty50 USD,,.36,-.71,-.1,1.72,1.16,1.3,.46,1.73,.74,-.1,-.11,.29,-.92,.31,.74,1.52,-.07,.14
